All,सभी
"Advanced Admin Section","उन्नत व्यवस्थापक अनुभाग"
"Design Section","डिजाइन अनुभाग"
"General Section","सामान्य अनुभाग"
"System Section","सिस्टम अनुभाग"
"Currency Setup Section","मुद्रा सेटअप अनुभाग"
"Developer Section","डेवलपर अनुभाग"
"Web Section","वेब सेक्शन"
"Store Email Addresses Section","ईमेल पता अनुभाग स्टोर करें"
"Email to a Friend","दोस्त को ईमेल करो"
"Deselect All","सभी को विचयन करें"
Select,चयन
SKU,एसकेयु
Weight,वजन
Attributes,विशेषताएँ
Visible,दृश्यमान
Searchable,"खोज योग्य"
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","नए ई-निजता निर्देश का अनुपालन करने के लिए, हमें कुकी सेट करने के लिए आपकी सहमति लेनी होगी."
"Click ""Save"" to apply the rates we found.","हमें मिले दरों को लागू करने के लिए ""सहेजें"" पर क्लिक करें ।"
"All valid rates have been saved.","सभी वैध दरों को बचा लिया गया है ।"
"Sign Out","प्रस्थान करें"
"You are subscribed to our newsletter.","आप हमारे समाचार पत्र की सदस्यता ले चुके हैं।"
"You aren't subscribed to our newsletter.","आपने हमारे न्यूज़लेटर की सदस्यता नहीं ली है।"
"You have not set a default shipping address.","आपने डिफ़ॉल्ट शिपिंग पता सेट नहीं किया है।"
"You have not set a default billing address.","आपने डिफ़ॉल्ट बिलिंग पता सेट नहीं किया है।"
"Address Book","पता पुस्तिका"
"Edit Address","पता संपादित करें"
"Add New Address","नया पता जोड़ें"
region,क्षेत्र
"Create Order","आदेश बनाएँ"
"Save Customer","ग्राहक बचाओ"
"Reset Password","पासवर्ड रीसेट"
"Are you sure you want to revoke the customer's tokens?","क्या आप वाकई ग्राहक के टोकन रद्द करना चाहते हैं?"
"Force Sign-In","बल साइन-इन"
"New Customer","नए ग्राहक"
"Save and Continue Edit","सहेजें और संपादित करें जारी रखें"
Price,कीमत
Total,संपूर्ण
Configure,कॉन्फ़िगर
"Shopping Cart from %1","शॉपिंग कार्ट %1 से"
Newsletter,"समाचार पत्रिका"
"Newsletter Information","समाचार पत्र सूचना"
"Subscribed to Newsletter","न्यूज़लेटर की सदस्यता ली"
"Last Date Subscribed","अंतिम तिथि सदस्यता"
"Last Date Unsubscribed","अंतिम तिथि सदस्यता रद्द"
